ns3:row,ID,Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,IDStrada01,Strada1,Chilometrica,NaturaIncidente,ParticolaritaStrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,CONFERMATO,IDStrada02,Strada2,DaSpecificare
,5799155,10,2022-01-28T11:25:00,Strada Urbana,all'intersezione con,16330,PIAZZA FABIO SABATINI,,Tamponamento,Rotatoria,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,2,12.5907,41.847079999999998,True,14047,VIA STEFANO OBERTO,
,5798370,3,2022-01-28T11:40:00,Strada Urbana,da specificare,4623,VIA DEI FRENTANI,,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,1,0,0,1,12.508279999999999,41.900440000000003,True,,,fronte 2c
,5801342,18,2022-01-28T11:45:00,Strada Urbana,all'intersezione con,3102,VIA CORNELIA,,Investimento di pedone,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,1,12.38993,41.900730000000003,True,10311,VIA SUOR MARIA AGOSTINA,
,5799227,1,2022-01-28T11:50:00,Strada Urbana,all'intersezione con,3573,VIA EMANUELE FILIBERTO,,Veicolo in marcia contro ostacolo accidentale,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.50695,41.88993,False,6778,VIALE MANZONI,
,5798920,11,2022-01-28T12:00:00,Strada Urbana,in corrispondenza,3091,VIA CORINTO,40,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale,Sereno,Normale,Buona,0,0,0,1,12.47555,41.854340000000001,True,,,
,5801561,2,2022-01-28T12:00:00,Strada Urbana,in prossimità,8748,VIA PO,28,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,0,12.49507,41.914270000000002,True,,,
,5798442,19,2022-01-28T12:00:00,Strada Urbana,in corrispondenza,9310,VIA REZZATO,58,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,0,0,0,3,12.37829,41.95093,True,,,
,5801088,5,2022-01-28T12:05:00,Strada Urbana,da specificare,6849,VIA DI MARCO SIMONE,,Tamponamento,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,1,12.64536,41.946750000000002,True,,,rotatoria Casal Bianco
,5798608,15,2022-01-28T13:00:00,Strada Urbana,in prossimità,8975,VIA PORTUENSE,292,Scontro laterale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.45696,41.865110000000001,True,,,
,5799446,17,2022-01-28T13:00:00,Strada Urbana,in corrispondenza,2929,VIA COLA DI RIENZO,265,Veicolo in marcia contro veicolo fermo,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.460699999999999,41.907020000000003,True,,,
,5798939,20,2022-01-28T13:05:00,Strada Urbana,in corrispondenza,3489,VIA DEI DUE PONTI,222 D,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Sufficiente,1,0,0,1,12.44871,41.965060000000001,True,,,
,5798066,6,2022-01-28T13:30:00,Strada Urbana,all'intersezione con,76,VIA DI ACQUA BULLICANTE,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,0,0,0,2,12.543430000000001,41.88382,True,1936,VIA CANOSA DI PUGLIA,
,5804961,3,2022-01-28T14:00:00,Strada Urbana,all'intersezione semaforizzata con,9090,VIALE DELLE PROVINCIE,,Scontro frontale/laterale DX fra veicoli in marcia,Intersezione semaforizzata,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Intenso,Buona,0,0,0,3,12.521240000000001,41.909590000000001,True,8088,VIA PADOVA,
