id,tipologia,denominazione,via,civico,latitude,longitude,stelle,categoria,totalePostiLetto,totaleNumeroCamere,numeroSingole,numeroDoppie,numeroTriple,numeroQuadruple,numeroBagni
397569,Guest House o Affittacamere,affittacamere guest house via del corso home roma,Via del Corso,277,41.8973662,12.4821105,,2.0,19.0,6.0,,2.0,2.0,1.0,
394885,Guest House o Affittacamere,AFFITTACAMERE/GUESTHOUSE VICOLO DEL LUPO ROOMS,Vicolo del Lupo,11,41.9064709,12.4794263,,3.0,14.0,6.0,,4.0,2.0,,
396461,Guest House o Affittacamere,affittacamere il corso ac,Via della Fontanella,4,41.9092194,12.477616,,3.0,13.0,5.0,,3.0,1.0,1.0,
397879,Guest House o Affittacamere,AFFITTACAMERE JIA & HOME,Via delle Cave di Pietralata,36,41.908948,12.5371804,,3.0,9.0,3.0,,,3.0,,
395597,Guest House o Affittacamere,AFFITTACAMERE MARCELLA HOUSE,Via Flavia,104,41.9078317,12.4980911,,3.0,13.0,6.0,,5.0,1.0,,
397146,Guest House o Affittacamere,AFFITTACAMERE MARCELLA LUXURY SUITE,Via Flavia,104,41.9078317,12.4980911,,2.0,15.0,5.0,,1.0,3.0,1.0,
397982,Guest House o Affittacamere,Affittacamere MERULANA13,Via Merulana,13,41.8963237,12.4996618,,3.0,10.0,5.0,1.0,3.0,1.0,,
397503,Guest House o Affittacamere,AFFITTACAMERE NANSEN,Via Federico Nansen,122,41.8712712,12.4832767,,3.0,4.0,4.0,4.0,,,,
397872,Guest House o Affittacamere,AFFITTACAMERE NAVONA CENTRAL SUITES,Via della Scrofa,22,41.902181,12.4751255,,2.0,11.0,5.0,1.0,2.0,2.0,,
397852,Guest House o Affittacamere,AFFITTACAMERE NEXT STOP ROMA CASILINO,Via Francesco Laparelli,73,41.8791706,12.5396542,,3.0,6.0,3.0,1.0,1.0,1.0,,
397778,Guest House o Affittacamere,AFFITTACAMERE O GUEST HOUSE EVERGREEN,Via Milazzo,23,41.9024118,12.5052691,,3.0,12.0,6.0,2.0,2.0,2.0,,
397047,Guest House o Affittacamere,AFFITTACAMERE O GUEST HOUSE MERAVIGLIE A ROMA,Vicolo Del Bologna,33,41.891298,12.4687472,,2.0,9.0,5.0,1.0,4.0,,,
